longitude,latitude,year,lithology,GWL,rainfall_mm,soil_thickness,normalized_urban_load_proxy,subsidence,subsidence_cum,city,lithology_class,GWL_depth_bgs,GWL_depth_bgs_z,soil_thickness_censored,soil_thickness_imputed,soil_thickness_eff,urban_load_global,z_surf,head_m,GWL_depth_bgs_raw,z_surf_raw,GWL_depth_bgs_m,z_surf_corr,z_surf_flag_outlier,z_surf_m
113.401787,22.901369,2015,Mudstone–Siltstone,49.54520679,955.7236769907844,0.81,0.9999999999979798,1.75162,1.75162,Nansha,Fine-Grained Soil,49.54520679,0.0635495628784669,False,0.81,0.81,0.9999999999998318,-10.0,-10.4954520679,49.54520679,-10.0,0.4954520679,-10.0,False,-10.0
113.420967,22.753059,2015,Conglomerate–Sandstone,0.718843776,955.7236769907844,0.57,0.0,4.743814,4.743814,Nansha,Coarse-Grained Soil,0.718843776,-1.330357630717388,False,0.57,0.57,0.0,0.0,-0.00718843776,0.718843776,0.0,0.00718843776,0.0,False,0.0
113.439117,22.75617,2015,Limestone–Sandstone,23.81764021,2032.170344759352,2.41,0.1818181818178145,1.999268,1.999268,Nansha,Mixed Clastics,23.81764021,-0.6709274269250872,False,2.41,2.41,0.1818181818181512,-4.0,-4.2381764021,23.81764021,-4.0,0.2381764021,-4.0,False,-4.0
113.430824,22.758245,2015,Tuff–Sandstone,58.66630883,955.7236769907844,3.53,0.2727272727267217,3.451916,3.451916,Nansha,Mixed Clastics,58.66630883,0.3239410596490198,False,3.53,3.53,0.2727272727272268,-7.0,-7.5866630883,58.66630883,-7.0,0.5866630883,-7.0,False,-7.0
113.418381,22.766024,2015,Conglomerate–Sandstone,17.28138623,955.7236769907844,1.32,7.850061790278275e-16,1.067584,1.067584,Nansha,Coarse-Grained Soil,17.28138623,-0.8575260363541607,False,1.32,1.32,7.850061790292813e-16,7.0,6.8271861377,17.28138623,7.0,0.1728138622999999,7.0,False,7.0
113.430824,22.78521,2015,Tuff–Sandstone,65.05348131,955.7236769907844,0.48,0.2727272727267225,3.709983,3.709983,Nansha,Mixed Clastics,65.05348131,0.5062836532199699,False,0.48,0.48,0.2727272727272276,-5.0,-5.6505348131,65.05348131,-5.0,0.6505348130999999,-5.0,False,-5.0
113.422005,22.776913,2015,Shale–Limestone,25.9327814,955.7236769907844,2.82,0.4545454545445366,5.458186,5.458186,Nansha,Mixed Clastics,25.9327814,-0.6105438485011419,False,2.82,2.82,0.4545454545453784,-5.0,-5.259327814,25.9327814,-5.0,0.259327814,-5.0,False,-5.0
113.432381,22.792471,2015,Siltstone–Shale,63.90497678,955.7236769907844,0.35,0.9090909090890724,5.424258,5.424258,Nansha,Fine-Grained Soil,63.90497678,0.4734958593434243,False,0.35,0.35,0.909090909090756,1.0,0.3609502322,63.90497678,1.0,0.6390497678,1.0,False,1.0
113.416824,22.788841,2015,Limestone–Sandstone,95.54206808,955.7236769907844,3.54,0.1818181818178152,10.183599,10.183599,Nansha,Mixed Clastics,95.54206808,1.3766794352914071,False,3.54,3.54,0.1818181818181519,-2.0,-2.9554206808,95.54206808,-2.0,0.9554206808,-2.0,False,-2.0
113.419411,22.798174,2015,Shale–Limestone,96.14634444,955.7236769907844,3.8,0.4545454545445399,8.113935,8.113935,Nansha,Mixed Clastics,96.14634444,1.3939304675848097,False,3.8,3.8,0.4545454545453817,-1.0,-1.9614634444,96.14634444,-1.0,0.9614634444,-1.0,False,-1.0
