longitude,latitude,year,GWL,seismic_risk_score,rainfall_mm,subsidence,geology,normalized_density,density_tier,subsidence_intensity,density_concentration,normalized_seismic_risk_score,rainfall_category
113.214111,22.636761,2016,1.273951279,-18.91008525,2695.971446,36.06,Residual Soil,0.337082764,Low,Moderate,Moderate,0.183247262,High
113.213753,22.634861,2019,1.043711629,-18.88798902,2058.75459,6.38,Rock,0.100082669,Low,Minimal,Sparse,0.0777935,Medium
113.19326,22.658319,2019,1.044453853,-19.57414013,2057.480034,6.6,Gravelly Soil,0.493546668,Medium,Minimal,Moderate,0.030248418,Medium
113.213928,22.662252,2020,1.998981498,-19.29421427,1587.001049,10.57,Residual Soil,0.341511416,Medium,Minimal,Moderate,0.039945671,Medium
113.242432,22.648472,2017,1.232424034,-18.62378535,1876.572371,17.75,Residual Soil,0.321178341,Low,Minimal,Sparse,0.133494293,Medium
113.22348,22.698475,2015,2.615101727,-19.70064745,1698.086248,28.02,Residual Soil,0.347301184,Medium,Moderate,Moderate,0.063221701,Medium
113.163391,22.673752,2020,1.739189847,-19.31923717,1558.182564,4.47,Gravelly Soil,0.496889376,Medium,Minimal,Moderate,0.021496688,Medium
113.222473,22.703812,2017,1.633076001,-19.800456,1779.559172,7.3,Residual Soil,0.294717208,Low,Minimal,Sparse,0.00212572,Medium
113.213753,22.702921,2022,1.50212304,-19.92317646,2068.475666,11.35,Rock,0.113075333,Low,Minimal,Sparse,0.014552701,Medium
113.219101,22.679585,2021,1.540016562,-19.47570738,1838.524857,7.48,Gravelly Soil,0.53000852,Medium,Minimal,Moderate,0.027518863,Medium
113.22197,22.692442,2022,1.355277838,-19.62981852,2063.671644,10.08,Residual Soil,0.331944536,Medium,Minimal,Moderate,0.03174989,Medium
113.221184,22.675325,2015,2.673028032,-19.37677142,1682.118832,25.23,Rock,0.109488987,Low,Moderate,Sparse,0.076507696,Medium
113.16275,22.677769,2020,1.771515205,-19.35715452,1558.569801,4.78,Gravelly Soil,0.553241037,Medium,Minimal,Moderate,0.019248555,Medium
113.209564,22.686529,2021,1.759322824,-19.73511673,1864.210174,12.82,Gravelly Soil,0.5701234,Medium,Minimal,Moderate,0.024577104,Medium
113.235664,22.687094,2016,1.281976426,-19.33075406,2651.637753,29.9,Residual Soil,0.320642292,Low,Moderate,Sparse,0.130463395,High
113.163277,22.674553,2018,1.133492723,-19.32702508,2348.606911,15.42,Rock,0.107077251,Low,Minimal,Sparse,0.080242961,High
113.190674,22.678133,2019,1.394457006,-19.87842693,2015.607672,3.49,Gravelly Soil,0.506948927,Medium,Minimal,Moderate,0,Medium
113.207497,22.687632,2017,2.027294446,-19.78516252,1784.20649,11.07,Gravelly Soil,0.492356376,Medium,Minimal,Moderate,0.007447366,Medium
113.209213,22.686882,2019,2.14433743,-19.74616537,2195.673277,33.89,Rock,0.142454236,Low,Moderate,Sparse,0.097571398,Medium
113.164345,22.67392,2016,1.104981394,-19.3389174,2627.601634,24.71,Rock,0.114035588,Low,Minimal,Sparse,0.115890124,High
113.240044,22.698124,2019,0.976402199,-19.43718818,2035.668725,3,Gravelly Soil,0.524051665,Medium,Minimal,Moderate,0.027556455,Medium
113.235054,22.693377,2020,1.6852008,-19.43936084,1531.019895,0.23,Residual Soil,0.309477727,Medium,Minimal,Sparse,0,Medium
113.216934,22.696812,2017,2.561920897,-19.77751942,1890.220297,30.18,Gravelly Soil,0.52853696,Medium,Moderate,Moderate,0.067642202,Medium
113.225349,22.699713,2022,1.273237506,-19.69087858,2021.772498,3.07,Rock,0.09065308,Low,Minimal,Sparse,0.004283572,Medium
113.235954,22.692017,2023,1.838772586,-19.4038368,1911.306015,21.91,Rock,0.127412743,Low,Minimal,Sparse,0.082507382,Medium
113.22242,22.700439,2023,2.255928256,-19.7481446,1945.346472,30.68,Residual Soil,0.38145604,Medium,Moderate,Moderate,0.079529703,Medium
113.24041,22.673628,2021,1.931978816,-19.04504774,1868.160764,14.74,Residual Soil,0.33302239,Medium,Minimal,Moderate,0.074833651,Medium
113.219048,22.679857,2017,2.123085444,-19.48074966,1854.887045,20.95,Rock,0.102303153,Low,Minimal,Sparse,0.066502084,Medium
113.207878,22.678795,2020,1.826637375,-19.64357582,1538.352676,1.69,Rock,0.087270491,Low,Minimal,Sparse,0,Medium
113.233116,22.696802,2020,1.704598255,-19.52371824,1533.645167,0.11,Rock,0.084896471,Low,Minimal,Sparse,0,Medium
113.209328,22.688564,2017,1.624881184,-19.77024404,1785.363562,8.05,Gravelly Soil,0.50981536,Medium,Minimal,Moderate,0.007298427,Medium
113.213547,22.694944,2015,2.310255597,-19.80194485,1642.100409,17.75,Residual Soil,0.296200915,Low,Minimal,Sparse,0.02465849,Medium
113.223022,22.686825,2020,1.83251625,-19.52558458,1558.053922,5.19,Residual Soil,0.311504968,Medium,Minimal,Sparse,0.00768514,Medium
113.22097,22.694578,2022,1.637781982,-19.67897483,2059.510421,11.73,Gravelly Soil,0.534159109,Medium,Minimal,Moderate,0.027390608,Medium
113.236893,22.69655,2022,1.123510308,-19.4609953,2042.463874,5.27,Residual Soil,0.330865797,Medium,Minimal,Moderate,0.030839543,Medium
113.194511,22.675831,2022,1.785687756,-19.8152508,2058.444073,12.75,Gravelly Soil,0.580738393,Medium,Minimal,Moderate,0.018124335,Medium
113.237503,22.697922,2017,2.375876139,-19.47331831,1838.155851,21.4,Residual Soil,0.325569151,Low,Minimal,Sparse,0.059552737,Medium
113.220596,22.688465,2015,2.301400732,-19.58951387,1640.652232,16.61,Rock,0.0966695,Low,Minimal,Sparse,0.037923262,Medium
113.221184,22.675325,2018,0.964567783,-19.37677142,2297.190681,6.93,Rock,0.105230627,Low,Minimal,Sparse,0.048329284,Medium
113.199341,22.68309,2021,2.070574653,-19.84680599,1783.417547,3.94,Gravelly Soil,0.48021056,Medium,Minimal,Moderate,0,Medium
113.222847,22.700823,2016,0.838534074,-19.74750263,2568.696568,14.75,Residual Soil,0.291855182,Low,Minimal,Sparse,0.055070976,High
113.234901,22.694502,2017,2.194268406,-19.45953189,1806.143796,15.47,Gravelly Soil,0.539913535,Medium,Minimal,Moderate,0.042390466,Medium
113.234131,22.721888,2020,1.473860292,-19.90898908,1545.490531,0.59,Gravelly Soil,0.483058486,Medium,Minimal,Moderate,0,Medium
113.227402,22.70776,2017,1.562534349,-19.78624225,1801.544849,9.24,Rock,0.100000203,Low,Minimal,Sparse,0.014332879,Medium
